Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;04-01-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;04-01-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;04-01-16;FLAGRANTE;HOMBRE;39;FRANCIA
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;04-01-16;FLAGRANTE;MUJER;21;COLOMBIA
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;04-01-16;FLAGRANTE;HOMBRE;25;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;05-01-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;05-01-16;FLAGRANTE;HOMBRE;24;ECUADOR
ZONA 9;DMQ;QUITO;RECEPTACION;05-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;FALSIFICACION;05-01-16;FLAGRANTE;MUJER;68;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;05-01-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;05-01-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;05-01-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;05-01-16;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;05-01-16;FLAGRANTE;MUJER;37;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;05-01-16;FLAGRANTE;HOMBRE;22;ECUADOR
